model_key,top_n,theme,n_top_genes,n_theme_genes,n_overlap,overlap_fraction_top,overlap_genes
Genomic_only_K3K4Basic,50,known_t2d_gwas_or_monogenic,50,32,5,0.1,CACNA1D;DPP4;GAD1;IGF2BP2;INSR
Genomic_only_K3K4Basic,50,beta_cell_biology,50,26,3,0.06,CACNA1D;DPP4;GAD1
Genomic_only_K3K4Basic,50,insulin_signalling,50,23,1,0.02,INSR
Genomic_only_K3K4Basic,50,glucose_metabolism,50,23,0,0.0,
Genomic_only_K3K4Basic,50,mitochondrial_function,50,52,0,0.0,
Genomic_only_K3K4Basic,50,oxidative_phosphorylation,50,25,0,0.0,
Genomic_only_K3K4Basic,50,pancreatic_development,50,20,0,0.0,
Genomic_only_K3K4Basic,50,lipid_metabolism,50,20,0,0.0,
Multimodal_DNABERT2,50,known_t2d_gwas_or_monogenic,50,32,7,0.14,CACNA1D;GAD1;HHEX;IGF2BP2;INSR;NEUROD1;PDX1
Multimodal_DNABERT2,50,beta_cell_biology,50,26,5,0.1,CACNA1D;GAD1;ISL1;NEUROD1;PDX1
Multimodal_DNABERT2,50,pancreatic_development,50,20,3,0.06,ISL1;NEUROD1;PDX1
Multimodal_DNABERT2,50,mitochondrial_function,50,52,2,0.04,NDUFB2;NDUFV1
Multimodal_DNABERT2,50,oxidative_phosphorylation,50,25,2,0.04,NDUFB2;NDUFV1
Multimodal_DNABERT2,50,insulin_signalling,50,23,1,0.02,INSR
Multimodal_DNABERT2,50,lipid_metabolism,50,20,1,0.02,SCD5
Multimodal_DNABERT2,50,glucose_metabolism,50,23,0,0.0,
Multimodal_handcrafted,50,known_t2d_gwas_or_monogenic,50,32,9,0.18,CACNA1D;DPP4;GAD1;HHEX;IGF2BP2;INSR;NEUROD1;PDX1;SLC5A1
Multimodal_handcrafted,50,beta_cell_biology,50,26,6,0.12,CACNA1D;DPP4;GAD1;ISL1;NEUROD1;PDX1
Multimodal_handcrafted,50,mitochondrial_function,50,52,5,0.1,NDUFA7;NDUFB1;NDUFB2;NDUFB3;NDUFV1
Multimodal_handcrafted,50,oxidative_phosphorylation,50,25,5,0.1,NDUFA7;NDUFB1;NDUFB2;NDUFB3;NDUFV1
Multimodal_handcrafted,50,pancreatic_development,50,20,3,0.06,ISL1;NEUROD1;PDX1
Multimodal_handcrafted,50,insulin_signalling,50,23,1,0.02,INSR
Multimodal_handcrafted,50,glucose_metabolism,50,23,1,0.02,SLC5A1
Multimodal_handcrafted,50,lipid_metabolism,50,20,1,0.02,SCD5
Protein_only_ProtBERT_SW,50,mitochondrial_function,50,52,6,0.12,NDUFA7;NDUFB1;NDUFB2;NDUFB3;NDUFC2;NDUFV1
Protein_only_ProtBERT_SW,50,oxidative_phosphorylation,50,25,6,0.12,NDUFA7;NDUFB1;NDUFB2;NDUFB3;NDUFC2;NDUFV1
Protein_only_ProtBERT_SW,50,known_t2d_gwas_or_monogenic,50,32,6,0.12,CACNA1D;GAD1;HHEX;IGF2BP2;INSR;NEUROD1
Protein_only_ProtBERT_SW,50,beta_cell_biology,50,26,4,0.08,CACNA1D;GAD1;ISL1;NEUROD1
Protein_only_ProtBERT_SW,50,pancreatic_development,50,20,2,0.04,ISL1;NEUROD1
Protein_only_ProtBERT_SW,50,insulin_signalling,50,23,1,0.02,INSR
Protein_only_ProtBERT_SW,50,lipid_metabolism,50,20,1,0.02,SCD5
Protein_only_ProtBERT_SW,50,glucose_metabolism,50,23,0,0.0,
Genomic_only_K3K4Basic,100,known_t2d_gwas_or_monogenic,100,32,9,0.09,CACNA1D;DPP4;GAD1;HHEX;IGF2BP2;INSR;MTNR1B;PDX1;SLC5A1
Genomic_only_K3K4Basic,100,beta_cell_biology,100,26,5,0.05,CACNA1D;DPP4;GAD1;ISL1;PDX1
Genomic_only_K3K4Basic,100,mitochondrial_function,100,52,2,0.02,NDUFA7;NDUFB2
Genomic_only_K3K4Basic,100,oxidative_phosphorylation,100,25,2,0.02,NDUFA7;NDUFB2
Genomic_only_K3K4Basic,100,pancreatic_development,100,20,2,0.02,ISL1;PDX1
Genomic_only_K3K4Basic,100,insulin_signalling,100,23,1,0.01,INSR
Genomic_only_K3K4Basic,100,glucose_metabolism,100,23,1,0.01,SLC5A1
Genomic_only_K3K4Basic,100,lipid_metabolism,100,20,1,0.01,SCD5
Multimodal_DNABERT2,100,known_t2d_gwas_or_monogenic,100,32,10,0.1,CACNA1D;DPP4;GAD1;HHEX;IGF2BP2;INSR;KCNJ11;NEUROD1;PDX1;SLC5A1
Multimodal_DNABERT2,100,beta_cell_biology,100,26,7,0.07,CACNA1D;DPP4;GAD1;ISL1;KCNJ11;NEUROD1;PDX1
Multimodal_DNABERT2,100,mitochondrial_function,100,52,6,0.06,NDUFA7;NDUFA9;NDUFB1;NDUFB2;NDUFC2;NDUFV1
Multimodal_DNABERT2,100,oxidative_phosphorylation,100,25,6,0.06,NDUFA7;NDUFA9;NDUFB1;NDUFB2;NDUFC2;NDUFV1
Multimodal_DNABERT2,100,pancreatic_development,100,20,3,0.03,ISL1;NEUROD1;PDX1
Multimodal_DNABERT2,100,glucose_metabolism,100,23,2,0.02,SLC5A1;SLC5A2
Multimodal_DNABERT2,100,insulin_signalling,100,23,1,0.01,INSR
Multimodal_DNABERT2,100,lipid_metabolism,100,20,1,0.01,SCD5
Multimodal_handcrafted,100,known_t2d_gwas_or_monogenic,100,32,10,0.1,CACNA1D;DPP4;GAD1;HHEX;IGF2BP2;INSR;KCNJ11;NEUROD1;PDX1;SLC5A1
Multimodal_handcrafted,100,beta_cell_biology,100,26,7,0.07,CACNA1D;DPP4;GAD1;ISL1;KCNJ11;NEUROD1;PDX1
Multimodal_handcrafted,100,mitochondrial_function,100,52,7,0.07,NDUFA13;NDUFA7;NDUFB1;NDUFB2;NDUFB3;NDUFC2;NDUFV1
Multimodal_handcrafted,100,oxidative_phosphorylation,100,25,7,0.07,NDUFA13;NDUFA7;NDUFB1;NDUFB2;NDUFB3;NDUFC2;NDUFV1
Multimodal_handcrafted,100,pancreatic_development,100,20,3,0.03,ISL1;NEUROD1;PDX1
Multimodal_handcrafted,100,glucose_metabolism,100,23,2,0.02,SLC5A1;SLC5A2
Multimodal_handcrafted,100,insulin_signalling,100,23,1,0.01,INSR
Multimodal_handcrafted,100,lipid_metabolism,100,20,1,0.01,SCD5
Protein_only_ProtBERT_SW,100,known_t2d_gwas_or_monogenic,100,32,10,0.1,CACNA1D;DPP4;GAD1;HHEX;IGF2BP2;INSR;KCNJ11;NEUROD1;PDX1;SLC5A1
Protein_only_ProtBERT_SW,100,mitochondrial_function,100,52,8,0.08,NDUFA2;NDUFA7;NDUFA9;NDUFB1;NDUFB2;NDUFB3;NDUFC2;NDUFV1
Protein_only_ProtBERT_SW,100,oxidative_phosphorylation,100,25,8,0.08,NDUFA2;NDUFA7;NDUFA9;NDUFB1;NDUFB2;NDUFB3;NDUFC2;NDUFV1
Protein_only_ProtBERT_SW,100,beta_cell_biology,100,26,7,0.07,CACNA1D;DPP4;GAD1;ISL1;KCNJ11;NEUROD1;PDX1
Protein_only_ProtBERT_SW,100,pancreatic_development,100,20,3,0.03,ISL1;NEUROD1;PDX1
Protein_only_ProtBERT_SW,100,glucose_metabolism,100,23,2,0.02,SLC5A1;SLC5A2
Protein_only_ProtBERT_SW,100,insulin_signalling,100,23,1,0.01,INSR
Protein_only_ProtBERT_SW,100,lipid_metabolism,100,20,1,0.01,SCD5
